        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.11.12

Force constants are read from FORCE_CONSTANTS.
Python version 3.6.0
Spglib version 1.9.9
Mesh sampling mode
Settings:
  Sampling mesh: [64 64  1]
  Supercell: [1 1 1]
Spacegroup: Pmm2 (25)
Number of irreducible q-points on sampling mesh: 1024/4096
Calculating phonons on sampling mesh...
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.1359259      0.0000000      0.0000000     66.1359259
      10.000      66.1227238      3.8812299      7.5167503     66.1615361
      20.000      66.0318754     15.9172654     34.4394623     66.3502208
      30.000      65.7681042     38.6202654     83.5474503     66.9267121
      40.000      65.2286153     70.5314801    141.5147349     68.0498745
      50.000      64.3380209    108.3084481    198.6113433     69.7534433
      60.000      63.0520609    149.2316550    250.9423849     72.0059602
      70.000      61.3490754    191.4697800    297.2085062     74.7519600
      80.000      59.2222821    233.8371213    337.2291811     77.9292518
      90.000      56.6744338    275.5838431    371.3890922     81.4769797
     100.000      53.7142140    316.2544127    400.3377515     85.3396552
     110.000      50.3538071    355.5907776    424.8026813     89.4687927
     120.000      46.6072806    393.4652281    445.4847205     93.8231080
     130.000      42.4895266    429.8342083    463.0096563     98.3679736
     140.000      38.0155871    464.7070420    477.9131867    103.0745730
     150.000      33.2002370    498.1250897    490.6430122    107.9190004
     160.000      28.0577366    530.1480566    501.5683392    112.8814256
     170.000      22.6016959    560.8451209    510.9916026    117.9453665
     180.000      16.8450105    590.2892721    519.1599171    123.0970795
     190.000      10.7998424    618.5537707    526.2752333    128.3250589
     200.000       4.4776290    645.7099982    532.5029126    133.6196287
     210.000      -2.1108912    671.8262140    537.9787730    138.9726137
     220.000      -8.9556439    696.9668972    542.8147908    144.3770734
     230.000     -16.0471793    721.1924640    547.1036757    149.8270875
     240.000     -23.3766310    744.5592190    550.9225293    155.3175816
     250.000     -30.9356757    767.1194511    554.3357660    160.8441871
     260.000     -38.7164935    788.9216134    557.3974484    166.4031260
     270.000     -46.7117309    810.0105475    560.1531574    171.9911170
     280.000     -54.9144656    830.4277291    562.6414946    177.6052985
     290.000     -63.3181745    850.2115174    564.8952930    183.2431656
     300.000     -71.9167032    869.3973992    566.9425977    188.9025165
     310.000     -80.7042392    888.0182224    568.8074617    194.5814098
     320.000     -89.6752858    906.1044150    570.5105952    200.2781270
     330.000     -98.8246397    923.6841883    572.0698982    205.9911425
     340.000    -108.1473690    940.7837250    573.5008984    211.7190975
     350.000    -117.6387946    957.4273505    574.8171123    217.4607780
     360.000    -127.2944719    973.6376904    576.0303459    223.2150966
     370.000    -137.1101745    989.4358131    577.1509442    228.9810763
     380.000    -147.0818797   1004.8413602    578.1880002    234.7578372
     390.000    -157.2057544   1019.8726643    579.1495302    240.5445847
     400.000    -167.4781428   1034.5468562    580.0426218    246.3405997
     410.000    -177.8955547   1048.8799626    580.8735582    252.1452300
     420.000    -188.4546552   1062.8869943    581.6479248    257.9578824
     430.000    -199.1522547   1076.5820262    582.3706988    263.7780166
     440.000    -209.9852999   1089.9782707    583.0463265    269.6051393
     450.000    -220.9508656   1103.0881441    583.6787892    275.4387993
     460.000    -232.0461472   1115.9233267    584.2716600    281.2785831
     470.000    -243.2684532   1128.4948180    584.8281523    287.1241112
     480.000    -254.6151992   1140.8129870    585.3511625    292.9750346
     490.000    -266.0839012   1152.8876181    585.8433062    298.8310316
     500.000    -277.6721706   1164.7279527    586.3069502    304.6918057
     510.000    -289.3777085   1176.3427280    586.7442400    310.5570828
     520.000    -301.1983009   1187.7402118    587.1571244    316.4266092
     530.000    -313.1318146   1198.9282348    587.5473760    322.3001499
     540.000    -325.1761922   1209.9142202    587.9166106    328.1774867
     550.000    -337.3294490   1220.7052109    588.2663028    334.0584169
     560.000    -349.5896688   1231.3078944    588.5978010    339.9427521
     570.000    -361.9550004   1241.7286261    588.9123397    345.8303164
     580.000    -374.4236550   1251.9734502    589.2110510    351.7209461
     590.000    -386.9939023   1262.0481195    589.4949746    357.6144882
     600.000    -399.6640685   1271.9581134    589.7650664    363.5107995
     610.000    -412.4325331   1281.7086548    590.0222067    369.4097464
     620.000    -425.2977267   1291.3047257    590.2672072    375.3112032
     630.000    -438.2581286   1300.7510811    590.5008172    381.2150525
     640.000    -451.3122644   1310.0522630    590.7237295    387.1211839
     650.000    -464.4587044   1319.2126123    590.9365848    393.0294936
     660.000    -477.6960611   1328.2362805    591.1399770    398.9398841
     670.000    -491.0229877   1337.1272405    591.3344570    404.8522634
     680.000    -504.4381762   1345.8892962    591.5205362    410.7665452
     690.000    -517.9403561   1354.5260925    591.6986899    416.6826478
     700.000    -531.5282922   1363.0411232    591.8693605    422.6004941
     710.000    -545.2007838   1371.4377398    592.0329601    428.5200114
     720.000    -558.9566630   1379.7191583    592.1898727    434.4411310
     730.000    -572.7947933   1387.8884672    592.3404567    440.3637878
     740.000    -586.7140686   1395.9486334    592.4850471    446.2879201
     750.000    -600.7134117   1403.9025086    592.6239569    452.2134698
     760.000    -614.7917736   1411.7528354    592.7574789    458.1403813
     770.000    -628.9481321   1419.5022524    592.8858876    464.0686023
     780.000    -643.1814908   1427.1532995    593.0094400    469.9980829
     790.000    -657.4908783   1434.7084228    593.1283774    475.9287757
     800.000    -671.8753473   1442.1699789    593.2429262    481.8606358
     810.000    -686.3339736   1449.5402394    593.3532992    487.7936203
     820.000    -700.8658551   1456.8213947    593.4596965    493.7276885
     830.000    -715.4701115   1464.0155580    593.5623063    499.6628016
     840.000    -730.1458831   1471.1247687    593.6613058    505.5989226
     850.000    -744.8923303   1478.1509959    593.7568621    511.5360163
     860.000    -759.7086328   1485.0961415    593.8491328    517.4740489
     870.000    -774.5939890   1491.9620430    593.9382664    523.4129885
     880.000    -789.5476154   1498.7504769    594.0244032    529.3528043
     890.000    -804.5687460   1505.4631607    594.1076758    535.2934670
     900.000    -819.6566317   1512.1017559    594.1882097    541.2349486
     910.000    -834.8105395   1518.6678703    594.2661233    547.1772224
     920.000    -850.0297527   1525.1630602    594.3415289    553.1202628
     930.000    -865.3135694   1531.5888327    594.4145328    559.0640450
     940.000    -880.6613028   1537.9466474    594.4852358    565.0085457
     950.000    -896.0722805   1544.2379188    594.5537333    570.9537424
     960.000    -911.5458439   1550.4640180    594.6201160    576.8996134
     970.000    -927.0813480   1556.6262742    594.6844699    582.8461379
     980.000    -942.6781609   1562.7259767    594.7468768    588.7932963
     990.000    -958.3356632   1568.7643763    594.8074142    594.7410692
    1000.000    -974.0532481   1574.7426867    594.8661560    600.6894386
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

