        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                     1.11.12

Force constants are read from FORCE_CONSTANTS.
Python version 3.6.0
Spglib version 1.9.9
Mesh sampling mode
Settings:
  Sampling mesh: [64 64  1]
  Supercell: [1 1 1]
Spacegroup: Pm (6)
Number of irreducible q-points on sampling mesh: 1024/4096
Calculating phonons on sampling mesh...
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      62.3838279      0.0000000      0.0000000     62.3838279
      10.000      62.3680893      4.4613722      8.1736505     62.4127030
      20.000      62.2679278     17.2711562     36.6275444     62.6133509
      30.000      61.9831155     41.6907606     90.6401782     63.2338383
      40.000      61.3993167     76.4730783    154.5634091     64.4582398
      50.000      60.4323608    117.6775780    216.0978525     66.3162397
      60.000      59.0354248    162.0242003    270.7447174     68.7568768
      70.000      57.1886126    207.3778185    317.6088218     71.7050599
      80.000      54.8888803    252.4455166    357.1268445     75.0845217
      90.000      52.1431951    296.4763873    390.1892373     78.8260700
     100.000      48.9642037    339.0587413    417.7807218     82.8700778
     110.000      45.3675345    379.9910087    440.8264099     87.1665455
     120.000      41.3701355    419.2001909    460.1333886     91.6741584
     130.000      36.9892653    456.6904272    476.3785827     96.3590209
     140.000      32.2418963    492.5106520    490.1175312    101.1933875
     150.000      27.1443753    526.7343598    501.8009138    106.1545292
     160.000      21.7122462    559.4470486    511.7924132    111.2237740
     170.000      15.9601716    590.7385265    520.3851231    116.3857211
     180.000       9.9019144    620.6982931    527.8155420    121.6276072
     190.000       3.5503559    649.4128614    534.2750520    126.9387996
     200.000      -3.0824663    676.9642978    539.9191341    132.3103933
     210.000      -9.9853099    703.4295218    544.8746793    137.7348896
     220.000     -17.1476751    728.8800715    549.2457566    143.2059406
     230.000     -24.5597504    753.3821500    553.1181543    148.7181441
     240.000     -32.2123606    776.9968348    556.5629561    154.2668797
     250.000     -40.0969171    799.7803737    559.6393643    159.8481763
     260.000     -48.2053706    821.7845219    562.3969342    165.4586051
     270.000     -56.5301687    843.0568910    564.8773505    171.0951919
     280.000     -65.0642156    863.6412924    567.1158444    176.7553463
     290.000     -73.8008361    883.5780644    569.1423300    182.4368026
     300.000     -82.7337423    902.9043799    570.9823192    188.1375716
     310.000     -91.8570034    921.6545288    572.6576629    193.8559005
     320.000    -101.1650182    939.8601787    574.1871523    199.5902390
     330.000    -110.6524899    957.5506107    575.5870112    205.3392117
     340.000    -120.3144036    974.7529346    576.8712993    211.1015942
     350.000    -130.1460055    991.4922824    578.0522448    216.8762933
     360.000    -140.1427839   1007.7919840    579.1405199    222.6623303
     370.000    -150.3004521   1023.6737251    580.1454692    228.4588261
     380.000    -160.6149327   1039.1576897    581.0753011    234.2649894
     390.000    -171.0823429   1054.2626893    581.9372477    240.0801060
     400.000    -181.6989819   1069.0062784    582.7376998    245.9035295
     410.000    -192.4613185   1083.4048596    583.4823201    251.7346739
     420.000    -203.3659803   1097.4737783    584.1761397    257.5730066
     430.000    -214.4097432   1111.2274083    584.8236404    263.4180424
